date,route,company_name,flight_duration,price,co2_emission,stops,departure_time,arrival_time,departure_location,destination
2024-06-01,BLR-IXC,IndiGo,3 hr 5 min,$95,135 kg CO2e,Nonstop,4:45 AM.,7:50 AM.,BLR,IXC
2024-06-01,BLR-IXC,IndiGoOperated by Operated Under Wet Lease From Smartlynx,4 hr 45 min,$104,172 kg CO2e,1 stop,8:00 AM.,12:45 PM.,BLR,IXC
2024-06-01,BLR-IXC,IndiGo,2 hr 45 min,$127,131 kg CO2e,Nonstop,3:55 PM.,6:40 PM.,BLR,IXC
2024-06-01,BLR-IXC,IndiGo,2 hr 45 min,$127,159 kg CO2e,Nonstop,8:30 PM.,11:15 PM.,BLR,IXC
2024-06-01,BLR-IXC,Vistara,3 hr 5 min,,171 kg CO2e,Nonstop,11:30 AM.,2:35 PM.,BLR,IXC
2024-06-01,BLR-IXC,IndiGo,6 hr 5 min,$104,163 kg CO2e,1 stop,3:25 PM.,9:30 PM.,BLR,IXC
2024-06-01,BLR-IXC,IndiGo,5 hr 20 min,$107,166 kg CO2e,1 stop,1:00 PM.,6:20 PM.,BLR,IXC
2024-06-01,BLR-IXC,IndiGo,5 hr 30 min,$114,159 kg CO2e,1 stop,10:30 AM.,4:00 PM.,BLR,IXC
2024-06-01,BLR-IXC,IndiGo,3 hr 55 min,$139,162 kg CO2e,1 stop,7:40 AM.,11:35 AM.,BLR,IXC
2024-06-01,BLR-IXC,Air India,6 hr 35 min,,198 kg CO2e,1 stop,3:25 PM.,10:00 PM.,BLR,IXC
2024-06-02,BLR-IXC,IndiGo,3 hr 5 min,$95,135 kg CO2e,Nonstop,4:45 AM.,7:50 AM.,BLR,IXC
2024-06-02,BLR-IXC,IndiGoOperated by Operated Under Wet Lease From Smartlynx,4 hr 45 min,$104,172 kg CO2e,1 stop,8:00 AM.,12:45 PM.,BLR,IXC
2024-06-02,BLR-IXC,IndiGo,2 hr 45 min,$127,131 kg CO2e,Nonstop,3:55 PM.,6:40 PM.,BLR,IXC
2024-06-02,BLR-IXC,IndiGo,2 hr 45 min,$127,159 kg CO2e,Nonstop,8:30 PM.,11:15 PM.,BLR,IXC
2024-06-02,BLR-IXC,Vistara,3 hr 5 min,,171 kg CO2e,Nonstop,11:30 AM.,2:35 PM.,BLR,IXC
2024-06-02,BLR-IXC,IndiGo,6 hr 5 min,$104,163 kg CO2e,1 stop,3:25 PM.,9:30 PM.,BLR,IXC
2024-06-02,BLR-IXC,IndiGo,5 hr 20 min,$107,166 kg CO2e,1 stop,1:00 PM.,6:20 PM.,BLR,IXC
2024-06-02,BLR-IXC,IndiGo,5 hr 30 min,$114,159 kg CO2e,1 stop,10:30 AM.,4:00 PM.,BLR,IXC
2024-06-02,BLR-IXC,IndiGo,3 hr 55 min,$139,162 kg CO2e,1 stop,7:40 AM.,11:35 AM.,BLR,IXC
2024-06-02,BLR-IXC,Air India,6 hr 35 min,,198 kg CO2e,1 stop,3:25 PM.,10:00 PM.,BLR,IXC
2024-06-03,BLR-IXC,IndiGo,3 hr 5 min,$95,135 kg CO2e,Nonstop,4:45 AM.,7:50 AM.,BLR,IXC
2024-06-03,BLR-IXC,IndiGoOperated by Operated Under Wet Lease From Smartlynx,4 hr 45 min,$104,172 kg CO2e,1 stop,8:00 AM.,12:45 PM.,BLR,IXC
2024-06-03,BLR-IXC,IndiGo,2 hr 45 min,$127,131 kg CO2e,Nonstop,3:55 PM.,6:40 PM.,BLR,IXC
2024-06-03,BLR-IXC,IndiGo,2 hr 45 min,$127,159 kg CO2e,Nonstop,8:30 PM.,11:15 PM.,BLR,IXC
2024-06-03,BLR-IXC,Vistara,3 hr 5 min,,171 kg CO2e,Nonstop,11:30 AM.,2:35 PM.,BLR,IXC
2024-06-03,BLR-IXC,IndiGo,6 hr 5 min,$104,163 kg CO2e,1 stop,3:25 PM.,9:30 PM.,BLR,IXC
2024-06-03,BLR-IXC,IndiGo,5 hr 20 min,$107,166 kg CO2e,1 stop,1:00 PM.,6:20 PM.,BLR,IXC
2024-06-03,BLR-IXC,IndiGo,5 hr 30 min,$114,159 kg CO2e,1 stop,10:30 AM.,4:00 PM.,BLR,IXC
2024-06-03,BLR-IXC,IndiGo,3 hr 55 min,$139,162 kg CO2e,1 stop,7:40 AM.,11:35 AM.,BLR,IXC
2024-06-03,BLR-IXC,Air India,6 hr 35 min,,198 kg CO2e,1 stop,3:25 PM.,10:00 PM.,BLR,IXC
2024-06-03,BLR-IXC,IndiGo,3 hr 5 min,$95,135 kg CO2e,Nonstop,4:45 AM.,7:50 AM.,BLR,IXC
2024-06-03,BLR-IXC,IndiGoOperated by Operated Under Wet Lease From Smartlynx,4 hr 45 min,$104,172 kg CO2e,1 stop,8:00 AM.,12:45 PM.,BLR,IXC
2024-06-03,BLR-IXC,IndiGo,2 hr 45 min,$127,131 kg CO2e,Nonstop,3:55 PM.,6:40 PM.,BLR,IXC
2024-06-03,BLR-IXC,IndiGo,2 hr 45 min,$127,159 kg CO2e,Nonstop,8:30 PM.,11:15 PM.,BLR,IXC
2024-06-03,BLR-IXC,Vistara,3 hr 5 min,,171 kg CO2e,Nonstop,11:30 AM.,2:35 PM.,BLR,IXC
2024-06-03,BLR-IXC,IndiGo,6 hr 5 min,$104,163 kg CO2e,1 stop,3:25 PM.,9:30 PM.,BLR,IXC
2024-06-03,BLR-IXC,IndiGo,5 hr 20 min,$107,166 kg CO2e,1 stop,1:00 PM.,6:20 PM.,BLR,IXC
2024-06-03,BLR-IXC,IndiGo,5 hr 30 min,$114,159 kg CO2e,1 stop,10:30 AM.,4:00 PM.,BLR,IXC
2024-06-03,BLR-IXC,IndiGo,3 hr 55 min,$139,162 kg CO2e,1 stop,7:40 AM.,11:35 AM.,BLR,IXC
2024-06-03,BLR-IXC,Air India,6 hr 35 min,,198 kg CO2e,1 stop,3:25 PM.,10:00 PM.,BLR,IXC
2024-06-04,BLR-IXC,IndiGo,3 hr 5 min,$95,135 kg CO2e,Nonstop,4:45 AM.,7:50 AM.,BLR,IXC
